headliner_name,event_date,event_venue,event_status,venue_address,artist_genre,ticket_link,n_listeners,artist_playcount,top_album,album_playcount
Jeezy,2023-11-24,Smart Financial Centre at Sugar Land,scheduled,"18111 Lexington Blvd., Sugar Land Texas 77479",['hip-hop-rap'],http://www.smartfinancialcentre.net/?utm_source=jambase,202928,1400620,The Recession (Edited Version),2679637.0
Dillon Francis,2023-12-16,Superstition,scheduled,"112 E Riverside Dr, Austin Texas 78704","['edm', 'indie', 'pop']",https://link.dice.fm/Bbf71c14e43d,202928,1400620,"Money Sucks, Friends Rule",1078778.0
Sofar Sounds Austin Secret Concert,2023-12-15,Sofar Sounds East Cesar Chavez,scheduled,", Austin Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/52862,202928,1400620,,
Rumours of Fleetwood Mac,2023-12-15,3TEN Austin City Limits Live,scheduled,"310 Willie Nelson Blvd, Suite 1A, Austin Texas 78701",[],https://3tenaustin.com/?utm_source=jambase,202928,1400620,(null),280.0
Wilson Fairchild,2023-12-15,Old Town Theatre,scheduled,"1023 12th Street, Huntsville Texas 77340",[],https://seatgeek.pxf.io/c/252938/1756891/20501?url=https%3A%2F%2Fseatgeek.com%2Fwilson-fairchild-tickets%2Fhuntsville-texas-old-town-theater-2023-12-15-7-pm%2Fconcert%2F6283837%3Faid%3D13185,202928,1400620,Country On,1422.0
Rocky Mountain High Experience: A John Denver Tribute,2023-12-15,Tobin Center for the Performing Arts,scheduled,"100 Auditorium Cir, San Antonio Texas 78205",[],https://www.tobincenter.org/?utm_source=jambase,202928,1400620,,
Ruckus,2023-12-15,Komodo Lounge,scheduled,"2550 Pacific Avenue, Dallas Texas 75226",[],https://www.tixr.com/groups/komododallas/events/ruckus-84479?utm_source=jambase&utm_campaign=jambase,202928,1400620,Of Malice And Man,32077.0
The Blessed Madonna,2023-12-15,It’ll Do,scheduled,"4322 Elm Street, Dallas Texas 75226",[],https://www.eventbrite.com/e/the-blessed-madonna-at-itll-do-club-tickets-735028087797,202928,1400620,Serotonin Moonbeams,169080.0
McAllen Wind Ensemble,2023-12-15,McAllen Performing Arts Center,scheduled,"801 Convention Center Blvd., McAllen Texas 78501",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fchristmas-with-a-twist-presented-by-mcallen-texas-12-15-2023%2Fevent%2F3A005F300AE1628F,202928,1400620,,
The Spazmatics,2023-12-15,Scout Bar,scheduled,"18307 Egret Bay Blvd., Houston Texas 77058",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=574264&afflky=369NMM,202928,1400620,Vampire Girls,31.0
Chavela,2023-12-15,Little Carver Theatre,scheduled,"226 N. Hackberry, San Antonio, TX, 78202, San Antonio Texas 78202",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fchavela-san-antonio-texas-12-15-2023%2Fevent%2F3A005F0ABE1148FD,202928,1400620,La Llorona,139616.0
DeadEye,2023-12-15,Sam’s Burger Joint,scheduled,"330 East Grayson Street, San Antonio Texas 78215",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=571802&afflky=369NMM,202928,1400620,YAYA,1789.0
Tomaseen Foley,2023-12-15,Rockbox Theater,scheduled,"109 North Llano Street, Fredricksburg Texas 78624",[],http://www.rockboxtheater.com/?utm_source=jambase,202928,1400620,A Celtic Christmas (Parcel From America),2.0
Warrant,2023-12-16,Smart Financial Centre at Sugar Land,scheduled,"18111 Lexington Blvd., Sugar Land Texas 77479","['metal', 'rock']",http://www.smartfinancialcentre.net/?utm_source=jambase,202928,1400620,Cherry Pie,2053664.0
Z-Ro,2023-12-16,White Oak Music Hall (Downstairs),scheduled,"2915 N Main St, Houston Texas 77009",['hip-hop-rap'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fhouston-hip-hop-50-w-zro-houston-texas-12-16-2023%2Fevent%2F3A005F26AF7824AD,202928,1400620,Let The Truth Be Told,365683.0
Il Divo,2023-12-16,HEB Performance Hall at Tobin Center,scheduled,"100 Auditorium Cir, San Antonio Texas 78205",['pop'],https://www.tobincenter.org/venues/h-e-b-performance-hall?utm_source=jambase,202928,1400620,Il Divo,798290.0
Il Divo,2023-12-15,Bass Concert Hall,scheduled,"2350 Robert Dedman Drive, Austin Texas 78712",['pop'],http://texasperformingarts.org?utm_source=jambase,202928,1400620,Il Divo,798290.0
Mac Powell,2023-12-16,Amarillo Civic Center Auditorium,scheduled,"401 South Buchannan, Amarillo Texas 79101",[],https://www.amarillociviccenter.com/rentals/venue-information/auditorium?utm_source=jambase,202928,1400620,New Creation,38048.0
Explosions in the Sky,2023-12-16,ACL Live at The Moody Theater,scheduled,"310 Willie Nelson Blvd, W. 2nd Street, Austin Texas 78701","['indie', 'rock']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=572004&afflky=369NMM,202928,1400620,The Earth Is Not a Cold Dead Place,12745191.0
The Maine,2023-12-16,Vibes Event Center,scheduled,"1211 East Houston, San Antonio Texas 78205","['pop', 'punk', 'rock']",https://www.eventbrite.com/e/the-maine-tickets-690264077437,202928,1400620,"Can't Stop, Won't Stop",4085068.0
Blue October,2023-12-16,Bass Concert Hall,scheduled,"2350 Robert Dedman Drive, Austin Texas 78712","['pop', 'rock']",http://texasperformingarts.org?utm_source=jambase,202928,1400620,Foiled,5467534.0
Deafheaven,2023-12-16,Stubb’s Waller Creek Amphitheater,scheduled,"801 Red River Street, Austin Texas 78701",['metal'],https://ticketmaster.evyy.net/c/252938/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fdeafheaven-with-touche-amore-austin-texas-12-16-2023%2Fevent%2F3A005EF9A0233049,202928,1400620,Sunbather,6404392.0
Aaron Watson,2023-12-16,Gruene Hall,scheduled,"1281 Gruene Rd, New Braunfels Texas 78130",['country-music'],http://gruenehall.com/?utm_source=jambase,202928,1400620,The Underdog,182770.0
Upon A Burning Body,2023-12-16,Big Rob’s,scheduled,"13930 Trinity Blvd, Fort Worth Texas 76040","['metal', 'punk']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=570852&afflky=369NMM,202928,1400620,Red. White. Green.,1007686.0
Eem Triplin,2023-12-16,Trees,scheduled,"2707 Elm Street, Dallas Texas 75226",['hip-hop-rap'],https://www.axs.com/events/503201/eem-triplin-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,AWKWARD FREESTYLE,1456779.0
Flatland Cavalry,2023-12-16,Billy Bobs,scheduled,"2520 Rodeo Plz, Fort Worth Texas 76164","['americana', 'country-music', 'folk']",https://www.axs.com/events/501664/flatland-cavalry-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Humble Folks,400043.0
Fire From the Gods,2023-12-16,Come and Take It Live,scheduled,"2015 E. Riverside Dr., Austin Texas 78741",['hip-hop-rap'],https://etix.prf.hn/click/camref:1101lGKCg/destination:https://www.etix.com/ticket/p/88965352/straight-outta-kongtonxmas-party-whoodrat-sht-prizes-featuring-performances-by-fire-from-the-gods-and-many-others-austin-come-and-take-it-live,202928,1400620,American Sun,469208.0
Midlake,2023-12-16,Tulips,scheduled,"112 St. Louis Ave, Fort Worth Texas 76104","['folk', 'indie', 'indie-rock', 'rock']",http://tulipsftw.com/?utm_source=jambase,202928,1400620,The Trials Of Van Occupanther,5541078.0
Hayes Carll,2023-12-16,Paramount Theatre,scheduled,"713 Congress, Austin Texas 78701","['americana', 'country-music', 'folk', 'indie', 'rock']",https://www.austintheatre.org/about-us/paramount-theatre?utm_source=jambase,202928,1400620,Trouble In Mind,615476.0
Habstrakt,2023-12-16,Stereo Live,scheduled,"6400 Richmond Avenue, Houston Texas 77057",['edm'],http://stereolivehouston.com/?utm_source=jambase,202928,1400620,The One (The Remixes),117133.0
Sofar Sounds Dallas / Fort Worth Secret Concert,2023-12-15,Sofar Sounds The Cedars,scheduled,", Dallas Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/52123,202928,1400620,,
Sofar Sounds Dallas / Fort Worth Secret Concert,2023-12-15,Sofar Sounds The Cedars,scheduled,", Dallas Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/52122,202928,1400620,,
Sonic Symphony,2023-12-15,Majestic Theatre,scheduled,"226 East Houston St., San Antonio Texas 78205",[],https://www.majesticempire.com/?utm_source=jambase,202928,1400620,(null),8641.0
Walker Lukens,2023-12-15,Paramount Theatre,scheduled,"713 Congress, Austin Texas 78701",['indie'],https://www.austintheatre.org/about-us/paramount-theatre?utm_source=jambase,202928,1400620,Every Night,21883.0
The Maine,2023-12-15,House of Blues,scheduled,"1204 Caroline St, Houston Texas 77002","['pop', 'punk', 'rock']",https://ticketmaster.evyy.net/c/252938/264167/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Fthe-maine-houston-texas-12-15-2023%2Fevent%2F3A005F03CE6F4199,202928,1400620,"Can't Stop, Won't Stop",4085068.0
Upon A Burning Body,2023-12-15,Vibes Event Center,scheduled,"1211 East Houston, San Antonio Texas 78205","['metal', 'punk']",https://www.eventbrite.com/e/upon-a-burning-body-tickets-722085706787,202928,1400620,Red. White. Green.,1007686.0
Le’Andria Johnson,2023-12-15,God’s Grace Community Church,scheduled,"9944 W Montgomery Rd, Houston Texas 77088",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fchristmas-in-the-44-featuring-winners-houston-texas-12-15-2023%2Fevent%2F3A005F59B7682F4D,202928,1400620,The Awakening of Le’Andria Johnson,5.0
BoomBox,2023-12-15,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701","['edm', 'jamband', 'livetronica']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=565538&afflky=369NMM,202928,1400620,Visions of Backbeat,364585.0
Elohim,2023-12-15,NOTO Houston,scheduled,"3215 McKinney Street, Houston Texas 77003","['edm', 'indie', 'pop']",https://notohtx.com/?utm_source=jambase,202928,1400620,Elohim,658636.0
Flatland Cavalry,2023-12-15,Billy Bobs,scheduled,"2520 Rodeo Plz, Fort Worth Texas 76164","['americana', 'country-music', 'folk']",https://www.axs.com/events/501663/flatland-cavalry-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Humble Folks,400043.0
Touché Amoré,2023-12-15,Tulips,scheduled,"112 St. Louis Ave, Fort Worth Texas 76104","['indie', 'punk']",http://tulipsftw.com/?utm_source=jambase,202928,1400620,Parting The Sea Between Brightness And Me,6617902.0
Tayler Holder,2023-12-15,Trees,scheduled,"2707 Elm Street, Dallas Texas 75226",['pop'],https://www.axs.com/events/508452/tayler-holder-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,100 Rounds,11866.0
Hayes Carll,2023-12-15,Gruene Hall,scheduled,"1281 Gruene Rd, New Braunfels Texas 78130","['americana', 'country-music', 'folk', 'indie', 'rock']",http://gruenehall.com/?utm_source=jambase,202928,1400620,Trouble In Mind,615476.0
Yussef Dayes,2023-12-15,The Studio at The Factory,scheduled,"2727 Canton Street, Dallas Texas 75226","['indie', 'jazz', 'rhythm-and-blues-soul']",https://www.axs.com/events/492274/yussef-dayes-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Black Classical Music,287476.0
Dan Deacon,2023-12-15,Club DaDa,scheduled,"2720 Elm Street, Dallas  Texas 75223","['edm', 'indie', 'pop']",https://www.dadadallas.com/?utm_source=jambase,202928,1400620,Bromst,2255851.0
Habstrakt,2023-12-15,Stereo Live Dallas,scheduled,"2711 Storey Ln, Dallas Texas 75220",['edm'],https://www.stereolive.com/dallas/?utm_source=jambase,202928,1400620,The One (The Remixes),117133.0
Lee Foss,2023-12-15,The Concourse Project,scheduled,"8509 Burleson Road, Austin Texas 78719",['edm'],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=573341&afflky=369NMM,202928,1400620,Hot Creations present Hot High Lights,21796.0
Messiah,2023-12-15,Jones Hall,scheduled,"615 Louisiana St, Houston Texas 77208","['hip-hop-rap', 'latin']",https://houstonsymphony.org/visit/jones-hall/?utm_source=jambase,202928,1400620,Extreme Cold Weather,93647.0
Kompany,2023-12-15,Stereo Live,scheduled,"6400 Richmond Avenue, Houston Texas 77057",['edm'],https://www.eventbrite.com/e/kompany-presents-quorum-stereo-live-houston-tickets-703768599827,202928,1400620,New Reign EP,29768.0
The Polyphonic Spree,2023-12-15,Majestic Theatre,scheduled,"1925 Elm Street, Dallas Texas 75201",['indie'],http://majestic.dallasculture.org/?utm_source=jambase,202928,1400620,Together We're Heavy,1036194.0
Marauda,2023-12-15,9PM Music Venue,scheduled,"9371 Richmond Ave., Houston Texas 77063",['edm'],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=556820&afflky=369NMM,202928,1400620,ASCENSION RITE,96651.0
Asleep at the Wheel,2023-12-15,Palace Theatre [Corsicana],scheduled,"112 West 6th Avenue, Corsicana Texas 75110",['country-music'],https://corsicanapalace.com/?utm_source=jambase,202928,1400620,The Very Best Of Asleep At The Wheel,79611.0
Couch,2023-12-15,The Parish,scheduled,"214 E. Sixth St, Austin Texas 78701",['indie'],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=555789&afflky=369NMM,202928,1400620,Couch,91164.0
Dailey & Vincent,2023-12-15,Waco Hippodrome Theatre,scheduled,"724 Austin Ave, Waco Texas 76701",['bluegrass'],https://wacohippodrometheatre.com/?utm_source=jambase,202928,1400620,,
Grady Spencer & The Work,2023-12-15,John T. Floore Country Store,scheduled,"14492 Old Bandera Road, Helotes Texas 78023","['americana', 'folk']",http://www.liveatfloores.com/?utm_source=jambase,202928,1400620,,
Sue Foley,2023-12-15,Armadillo Christmas Bazaar,scheduled,"500 East Cesar Chavez St., Austin Texas 78701","['blues', 'rock']",https://armadillobazaar.com/tickets/,202928,1400620,Love Comin' Down,65880.0
Urban Heat,2023-12-15,White Oak Music Hall (Upstairs),scheduled,"2915 N Main St, Houston Texas 77009",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Furban-heat-with-rare-dm-houston-texas-12-15-2023%2Fevent%2F3A005F18024069D8,202928,1400620,Have You Ever?,22744.0
The Texas Gentlemen,2023-12-15,Sagebrush,scheduled,"5500 S Congress Ave, Austin Texas 78745","['americana', 'folk', 'funk', 'indie']",https://link.dice.fm/t60faae4e462,202928,1400620,Floor It!!!,118655.0
Kasablanca,2023-12-15,RISE Rooftop,scheduled,"2600 Travis, Houston Texas 77006",['edm'],https://seatgeek.pxf.io/c/252938/1756891/20501?url=https%3A%2F%2Fseatgeek.com%2Fkasablanca-tickets%2Fhouston-texas-proof-rooftop-lounge-2-2023-12-15-10-pm%2Fconcert%2F6270173%3Faid%3D13185,202928,1400620,Human Learning,47778.0
George Clinton & Parliament Funkadelic,2023-12-15,The Aztec Theatre,scheduled,"201 E Commerce St, San Antonio Texas 78205",['funk'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Fparliament-funkadelic-feat-george-clinton-just-san-antonio-texas-12-15-2023%2Fevent%2F3A005EE6F3BC46B7,202928,1400620,,
Treaty Oak Revival,2023-12-15,The Lowbrow Palace,scheduled,"111 Robinson Ave, El Paso Texas 79902",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=571718&afflky=369NMM,202928,1400620,No Vacancy,195534.0
Messiah,2023-12-16,Jones Hall,scheduled,"615 Louisiana St, Houston Texas 77208","['hip-hop-rap', 'latin']",https://houstonsymphony.org/visit/jones-hall/?utm_source=jambase,202928,1400620,Extreme Cold Weather,93647.0
BoomBox,2023-12-16,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701","['edm', 'jamband', 'livetronica']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=565540&afflky=369NMM,202928,1400620,Visions of Backbeat,364585.0
Kompany,2023-12-16,Stereo Live Dallas,scheduled,"2711 Storey Ln, Dallas Texas 75220",['edm'],https://www.eventbrite.com/e/kompany-presents-quorum-stereo-live-dallas-tickets-703770676037,202928,1400620,New Reign EP,29768.0
Devon Allman,2023-12-17,ACL Live at The Moody Theater,scheduled,"310 Willie Nelson Blvd, W. 2nd Street, Austin Texas 78701","['blues', 'rock']",https://acl-live.com/?utm_source=jambase,202928,1400620,Ride or Die,21022.0
Miss Monique,2023-12-17,Kingdom,scheduled,"103 E. 5th St. Suite B, Austin Texas 78701",['edm'],https://www.kingdomnightclub.com/?utm_source=jambase,202928,1400620,Concorde,27553.0
CHUU,2023-12-17,Music Hall at Fair Park,scheduled,"909 1st Ave, Dallas Texas 75210",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fchuu-howl-in-the-usa-dallas-texas-12-17-2023%2Fevent%2F0C005F51B11423F3%3Futm_content%3Dhotevent,202928,1400620,Howl,1352316.0
Michael Martin Murphey,2023-12-17,Paramount Theatre,scheduled,"713 Congress, Austin Texas 78701","['country-music', 'rock']",https://www.austintheatre.org/about-us/paramount-theatre?utm_source=jambase,202928,1400620,The Best Of Michael Martin Murphey,75857.0
Sue Foley,2023-12-17,Sam’s Burger Joint,scheduled,"330 East Grayson Street, San Antonio Texas 78215","['blues', 'rock']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=572504&afflky=369NMM,202928,1400620,Love Comin' Down,65880.0
Urban Heat,2023-12-17,Paper Tiger,scheduled,"2410 N St Mary's St, San Antonio Texas 78212",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=566239&afflky=369NMM,202928,1400620,Have You Ever?,22744.0
Jarhead Fertilizer,2023-12-17,The 13th floor,scheduled,"711 Red River Street, Austin Texas 78701","['metal', 'punk']",https://link.dice.fm/q8692f3341ae,202928,1400620,Product of My Environment,135875.0
Rosie Flores,2023-12-17,Radio/East,scheduled,"3504 Montopolis Drive, Austin Texas 78744",['rock'],https://link.dice.fm/qac43f8d660d,202928,1400620,Simple Case of the Blues,18041.0
Eclipse,2023-12-17,RISE Rooftop,scheduled,"2600 Travis, Houston Texas 77006",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=574611&afflky=369NMM,202928,1400620,PARADIGM,255020.0
Houston Symphony,2023-12-17,Jones Hall,scheduled,"615 Louisiana St, Houston Texas 77208",['classical'],https://houstonsymphony.org/visit/jones-hall/?utm_source=jambase,202928,1400620,Music of the Americas,362.0
Sofar Sounds Houston Secret Concert,2023-12-17,Sofar Sounds The Heights,scheduled,", Houston Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/51940,202928,1400620,,
Sofar Sounds Austin Secret Concert,2023-12-17,Sofar Sounds Central East Austin,scheduled,", Austin Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/52896,202928,1400620,,
Melody Trucks,2023-12-17,The Parish,scheduled,"214 E. Sixth St, Austin Texas 78701",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=576038&afflky=369NMM,202928,1400620,,
Susan Gibson,2023-12-17,The Redbird Listening Room,scheduled,"1260 S Business, I-35, New Braunfels Texas 78130",[],https://www.redbirdlisteningroom.com/?utm_source=jambase,202928,1400620,"New Dog, Old Tricks",1378.0
The Capitol,2023-12-17,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701",[],https://www.antonesnightclub.com/?utm_source=jambase,202928,1400620,The Capitol EP,215.0
Sarah Brightman,2023-12-18,Winspear Opera House,scheduled,"2403 Flora Street, Dallas Texas 75201",['pop'],http://www.attpac.org/?utm_source=jambase,202928,1400620,Symphony,1498757.0
Sarah Brightman,2023-12-19,Bass Concert Hall,scheduled,"2350 Robert Dedman Drive, Austin Texas 78712",['pop'],http://texasperformingarts.org?utm_source=jambase,202928,1400620,Symphony,1498757.0
Girl Named Tom,2023-12-19,Tobin Center for the Performing Arts,scheduled,"100 Auditorium Cir, San Antonio Texas 78205",['pop'],https://www.tobincenter.org/?utm_source=jambase,202928,1400620,Hits from the Road,34530.0
Jarhead Fertilizer,2023-12-19,White Oak Music Hall (Upstairs),scheduled,"2915 N Main St, Houston Texas 77009","['metal', 'punk']",https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fjarhead-fertilizer-with-phobophilic-crownovhornz-houston-texas-12-19-2023%2Fevent%2F3A005F39A7F4201E%3Futm_content%3Dhotevent,202928,1400620,Product of My Environment,135875.0
Harbour,2023-12-19,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fharbour-to-chase-my-dreams-or-austin-texas-12-19-2023%2Fevent%2F3A005F2E95EF1BE0,202928,1400620,Heatwave,503548.0
Edgar Blue,2023-12-19,Three Links Event Center,scheduled,"2704 Elm St, Dallas Texas 75303",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=525365&afflky=369NMM,202928,1400620,,
LONE STAR BRASS,2023-12-19,Rea-Greathouse Recital Hall at the Wagner Noël Performing Arts Center,scheduled,"Wagner Noel Performing Arts Center / Rea-greathouse Hall, Midland Texas 79707",[],https://etix.prf.hn/click/camref:1101lGKCg/destination:https://www.etix.com/ticket/p/3837935/lone-star-brass-a-basin-brass-christmas-bonanza-midland-reagreathouse-hall-at-the-wagner-no%C3%ABl-performing-arts-center?utm_source=jambase&utm_campaign=jambase,202928,1400620,,
Pentatonix,2023-12-20,Dickies Arena,scheduled,"3464 Trail Dr, Fort Worth Texas 76107",['pop'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsuites-pentatonix-the-most-wonderful-tour-fort-worth-texas-12-20-2023%2Fevent%2F0C005F1AD3063F4D,202928,1400620,Pentatonix (Deluxe Version),1845413.0
Sarah Brightman,2023-12-20,Smart Financial Centre at Sugar Land,scheduled,"18111 Lexington Blvd., Sugar Land Texas 77479",['pop'],http://www.smartfinancialcentre.net/?utm_source=jambase,202928,1400620,Symphony,1498757.0
Squirrel Nut Zippers,2023-12-20,The Kessler Theater,scheduled,"1230 West Davis Street, Dallas Texas 77864","['folk', 'jazz']",http://thekessler.org/?utm_source=jambase,202928,1400620,Hot,1224214.0
Mariachi Sol De Mexico,2023-12-20,ACL Live at The Moody Theater,scheduled,"310 Willie Nelson Blvd, W. 2nd Street, Austin Texas 78701",['latin'],https://acl-live.com/?utm_source=jambase,202928,1400620,La Nueva Era Del Mariachi Sol De Mexico De Jose Hernandez,8755.0
Girl Named Tom,2023-12-20,Arlington Music Hall,scheduled,"224 N Center St, Arlington Texas 76011",['pop'],https://arlingtonmusichall.net/?utm_source=jambase,202928,1400620,Hits from the Road,34530.0
Harbour,2023-12-20,Tulips,scheduled,"112 St. Louis Ave, Fort Worth Texas 76104",[],http://tulipsftw.com/?utm_source=jambase,202928,1400620,Heatwave,503548.0
Eem Triplin,2023-12-17,The Bronze Peacock at House of Blues,scheduled,"1204 Caroline St, Houston Texas 77002",['hip-hop-rap'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Feem-triplin-still-pretty-north-american-houston-texas-12-17-2023%2Fevent%2F3A005F2F2A0287E5,202928,1400620,AWKWARD FREESTYLE,1456779.0
Upon A Burning Body,2023-12-17,Scout Bar,scheduled,"18307 Egret Bay Blvd., Houston Texas 77058","['metal', 'punk']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=570885&afflky=369NMM,202928,1400620,Red. White. Green.,1007686.0
Creed Fisher,2023-12-16,John T. Floore Country Store,scheduled,"14492 Old Bandera Road, Helotes Texas 78023","['americana', 'country-music', 'folk']",http://www.liveatfloores.com/?utm_source=jambase,202928,1400620,Rednecks Like Us,30925.0
Aaron Watson,2023-12-17,Gruene Hall,scheduled,"1281 Gruene Rd, New Braunfels Texas 78130",['country-music'],http://gruenehall.com/?utm_source=jambase,202928,1400620,The Underdog,182770.0
SunSquabi,2023-12-16,Deep Ellum Art Company,scheduled,"3200 Commerce Street, Dallas Texas 75226",['jamband'],https://deepellumart.co/?utm_source=jambase,202928,1400620,Deluxe EP,73521.0
The Polyphonic Spree,2023-12-16,Majestic Theatre,scheduled,"1925 Elm Street, Dallas Texas 75201",['indie'],http://majestic.dallasculture.org/?utm_source=jambase,202928,1400620,Together We're Heavy,1036194.0
Couch,2023-12-16,Club DaDa,scheduled,"2720 Elm Street, Dallas  Texas 75223",['indie'],https://www.dadadallas.com/?utm_source=jambase,202928,1400620,Couch,91164.0
SABAI,2023-12-16,Kingdom,scheduled,"103 E. 5th St. Suite B, Austin Texas 78701",[],https://www.kingdomnightclub.com/?utm_source=jambase,202928,1400620,Million Days,275445.0
Duke Ellington Orchestra,2023-12-16,The Grand 1894 Opera House,scheduled,"2020 Postoffice, Galveston Texas 77550",[],http://www.thegrand.com?utm_source=jambase,202928,1400620,Duke Ellington: The Reprise Studio Recordings,5033.0
Kasablanca,2023-12-16,The Concourse Project,scheduled,"8509 Burleson Road, Austin Texas 78719",['edm'],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=566537&afflky=369NMM,202928,1400620,Human Learning,47778.0
Walker Lukens,2023-12-16,The Kessler Theater,scheduled,"1230 West Davis Street, Dallas Texas 77864",['indie'],http://thekessler.org/?utm_source=jambase,202928,1400620,Every Night,21883.0
SOHMI,2023-12-16,The Cut,scheduled,"715 Red River St, Austin Texas 78701",['edm'],https://link.dice.fm/ob9a7a46b929,202928,1400620,Want U 2 Love Me,11441.0
The Texas Tenors,2023-12-16,Arlington Music Hall,scheduled,"224 N Center St, Arlington Texas 76011",['pop'],https://arlingtonmusichall.net/?utm_source=jambase,202928,1400620,You Should Dream,2441.0
Daisy Grenade,2023-12-16,Vibes Event Center,scheduled,"1211 East Houston, San Antonio Texas 78205",[],https://vibeseventcenter.com/?utm_source=jambase,202928,1400620,Cult Classic,77984.0
The Droptines,2023-12-16,Sam’s Burger Joint,scheduled,"330 East Grayson Street, San Antonio Texas 78215",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=568395&afflky=369NMM,202928,1400620,4 More,1344.0
Sofar Sounds Dallas / Fort Worth Secret Concert,2023-12-16,Sofar Sounds Oak Cliff,scheduled,", Dallas Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/52124,202928,1400620,,
Sofar Sounds Houston Secret Concert,2023-12-16,Sofar Sounds EaDo,scheduled,", Houston Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/51678,202928,1400620,,
Rumours of Fleetwood Mac,2023-12-16,3TEN Austin City Limits Live,scheduled,"310 Willie Nelson Blvd, Suite 1A, Austin Texas 78701",[],https://3tenaustin.com/?utm_source=jambase,202928,1400620,(null),280.0
Rick Schuler-A Tribute to John Denver,2023-12-16,Eisemann Center,scheduled,"2351 Performance Drive, Richardson Texas 75082",[],https://www.eisemanncenter.com/?utm_source=jambase,202928,1400620,,
DeadEye,2023-12-16,The Parish,scheduled,"214 E. Sixth St, Austin Texas 78701",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=569918&afflky=369NMM,202928,1400620,YAYA,1789.0
Casey Donahew Band,2023-12-16,Brewster Street Ice House,scheduled,"1724 N. Tancahua, Corpus Christi Texas 78401",[],http://www.brewsterstreet.net?utm_source=jambase,202928,1400620,Moving On,164742.0
