headliner_name,event_date,event_venue,event_status,venue_address,artist_genre,ticket_link,n_listeners,artist_playcount,top_album,album_playcount
Kool & The Gang,2024-01-18,ACL Live at The Moody Theater,scheduled,"310 Willie Nelson Blvd, W. 2nd Street, Austin Texas 78701","['funk', 'rhythm-and-blues-soul']",https://acl-live.com/?utm_source=jambase,202928,1400620,,
Lucinda Williams,2024-01-18,Longhorn Ballroom,scheduled,"216 Corinth St, Dallas Texas 75207","['americana', 'country-music', 'folk', 'indie', 'pop', 'rock']",https://www.longhornballroom.com/?utm_source=jambase,202928,1400620,Car Wheels On A Gravel Road,2074009.0
Voodoo Glow Skulls,2024-01-18,Paper Tiger,scheduled,"2410 N St Mary's St, San Antonio Texas 78212",['punk'],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=568052&afflky=369NMM,202928,1400620,Firme,530580.0
The Record Company,2024-01-18,Deep Ellum Art Company,scheduled,"3200 Commerce Street, Dallas Texas 75226","['americana', 'blues', 'blues-rock', 'folk', 'funk', 'indie', 'rock']",https://deepellumart.co/?utm_source=jambase,202928,1400620,Give It Back to You,408008.0
Ocie Elliott,2024-01-18,The 04 Center,scheduled,"2701 S Lamar Blvd, Austin Texas 78704","['folk', 'indie']",https://www.04center.com/?utm_source=jambase,202928,1400620,EP,474613.0
Ottmar Liebert,2024-01-18,House Of Blues,scheduled,"2200 N. Lamar Street, Dallas Texas 75202","['jazz', 'latin']",https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Fottmar-liebert-luna-negra-dallas-texas-01-18-2024%2Fevent%2F0C005F59D2313960,202928,1400620,Nouveau Flamenco,299686.0
Robyn Hitchcock,2024-01-18,3TEN Austin City Limits Live,scheduled,"310 Willie Nelson Blvd, Suite 1A, Austin Texas 78701",['indie'],https://3tenaustin.com/?utm_source=jambase,202928,1400620,I Often Dream of Trains,411985.0
The Panhandlers,2024-01-18,House of Blues,scheduled,"1204 Caroline St, Houston Texas 77002",['country-music'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Fthe-panhandlers-houston-texas-01-18-2024%2Fevent%2F3A005F18BD1F44DA,202928,1400620,The Panhandlers,80150.0
Eli Paperboy Reed,2024-01-18,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701",['funk'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Feli-paperboy-reed-vs-the-harlem-austin-texas-01-18-2024%2Fevent%2F3A005F57D71028AB,202928,1400620,Come And get it,232772.0
Albert Castiglia,2024-01-18,The Post at River East,scheduled,"2925 Race Street, Fort Worth Texas 76111","['blues', 'rock']",https://www.tixr.com/groups/afallon/events/albert-castiglia-84412?utm_source=jambase&utm_campaign=jambase,202928,1400620,A Stone's Throw,14344.0
Tommy Prine,2024-01-18,White Oak Music Hall (Upstairs),scheduled,"2915 N Main St, Houston Texas 77009",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftommy-prine-with-special-guest-gabe-houston-texas-01-18-2024%2Fevent%2F3A005EC7385891AF%3Futm_content%3Dhotevent,202928,1400620,This Far South,11012.0
Sofar Sounds Austin Secret Concert,2024-01-18,Sofar Sounds East Austin,scheduled,", Austin Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/53512,202928,1400620,,
The Grux – A Dave Matthews Tribute Band,2024-01-18,Sam’s Burger Joint,scheduled,"330 East Grayson Street, San Antonio Texas 78215",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=577064&afflky=369NMM,202928,1400620,,
Brooklyn Michelle,2024-01-18,Stable Hall,scheduled,"307 Pearl Parkway, San Antonio Texas 78215",[],https://www.tixr.com/groups/stablehall/events/brooklyn-michelle-and-wes-denzel-83872?utm_source=jambase&utm_campaign=jambase,202928,1400620,Lithium,525.0
West Texas Winds,2024-01-18,Rea-Greathouse Recital Hall at the Wagner Noël Performing Arts Center,scheduled,"Wagner Noel Performing Arts Center / Rea-greathouse Hall, Midland Texas 79707",[],https://etix.prf.hn/click/camref:1101lGKCg/destination:https://www.etix.com/ticket/p/7355744/west-texas-winds-spring-recital-midland-reagreathouse-hall-at-the-wagner-no%C3%ABl-performing-arts-center?utm_source=jambase&utm_campaign=jambase,202928,1400620,,
